worker_id,language,state,employment_type,monthly_income,correct_schemes,found_schemes,recall,n_correct,n_mentioned_total,answer_chars
4761,English,Karnataka,casual_daily,3963,e-Shram;PM-SYM;Ayushman Bharat;PMJJBY/PMSBY;BOCW;MGNREGA,e-Shram;Ayushman Bharat;PMJJBY/PMSBY;BOCW;MGNREGA,0.833,6,5,1471
4761,Hindi,Karnataka,casual_daily,3963,e-Shram;PM-SYM;Ayushman Bharat;PMJJBY/PMSBY;BOCW;MGNREGA,e-Shram;Ayushman Bharat;PMJJBY/PMSBY;MGNREGA,0.667,6,4,1034
4761,Bhojpuri,Karnataka,casual_daily,3963,e-Shram;PM-SYM;Ayushman Bharat;PMJJBY/PMSBY;BOCW;MGNREGA,e-Shram;Ayushman Bharat;PMJJBY/PMSBY;BOCW,0.667,6,5,1151
4761,Bengali,Karnataka,casual_daily,3963,e-Shram;PM-SYM;Ayushman Bharat;PMJJBY/PMSBY;BOCW;MGNREGA,e-Shram;Ayushman Bharat;PMJJBY/PMSBY;BOCW;MGNREGA,0.833,6,5,1413
4761,Tamil,Karnataka,casual_daily,3963,e-Shram;PM-SYM;Ayushman Bharat;PMJJBY/PMSBY;BOCW;MGNREGA,Ayushman Bharat;PMJJBY/PMSBY;BOCW;MGNREGA,0.667,6,5,1301
195,English,Uttar Pradesh,casual_daily,6468,e-Shram;PM-SYM;Ayushman Bharat;PMJJBY/PMSBY;BOCW,e-Shram;Ayushman Bharat;PMJJBY/PMSBY,0.6,5,5,1530
195,Hindi,Uttar Pradesh,casual_daily,6468,e-Shram;PM-SYM;Ayushman Bharat;PMJJBY/PMSBY;BOCW,Ayushman Bharat;PMJJBY/PMSBY,0.4,5,3,1222
195,Bhojpuri,Uttar Pradesh,casual_daily,6468,e-Shram;PM-SYM;Ayushman Bharat;PMJJBY/PMSBY;BOCW,e-Shram;PM-SYM;Ayushman Bharat;PMJJBY/PMSBY;BOCW,1.0,5,5,1328
195,Bengali,Uttar Pradesh,casual_daily,6468,e-Shram;PM-SYM;Ayushman Bharat;PMJJBY/PMSBY;BOCW,e-Shram;Ayushman Bharat;PMJJBY/PMSBY,0.6,5,3,1296
195,Tamil,Uttar Pradesh,casual_daily,6468,e-Shram;PM-SYM;Ayushman Bharat;PMJJBY/PMSBY;BOCW,Ayushman Bharat;PMJJBY/PMSBY,0.4,5,4,1231
7488,English,Assam,casual_daily,1585,e-Shram;Ayushman Bharat;BOCW;MGNREGA,Ayushman Bharat;MGNREGA,0.5,4,3,1096
