Training CTGAN on 45,424 real informal workers, 300 epochs...

  0%|          | 0/300 [00:00<?, ?it/s]
Gen. (+00.00) | Discrim. (+00.00):   0%|          | 0/300 [00:00<?, ?it/s]
Gen. (+01.65) | Discrim. (+00.22):   0%|          | 0/300 [00:03<?, ?it/s]
Gen. (+01.65) | Discrim. (+00.22):   0%|          | 1/300 [00:03<15:19,  3.07s/it]
Gen. (+01.10) | Discrim. (+00.07):   0%|          | 1/300 [00:06<15:19,  3.07s/it]
Gen. (+01.10) | Discrim. (+00.07):   1%|          | 2/300 [00:06<16:24,  3.30s/it]
Gen. (+00.72) | Discrim. (-00.04):   1%|          | 2/300 [00:10<16:24,  3.30s/it]
Gen. (+00.72) | Discrim. (-00.04):   1%|          | 3/300 [00:10<17:10,  3.47s/it]
Gen. (+00.29) | Discrim. (+00.07):   1%|          | 3/300 [00:13<17:10,  3.47s/it]
Gen. (+00.29) | Discrim. (+00.07):   1%|▏         | 4/300 [00:13<17:22,  3.52s/it]
Gen. (-00.22) | Discrim. (+00.05):   1%|▏         | 4/300 [00:17<17:22,  3.52s/it]
Gen. (-00.22) | Discrim. (+00.05):   2%|▏         | 5/300 [00:17<17:05,  3.48s/it]
Gen. (-00.52) | Discrim. (-00.08):   2%|▏         | 5/300 [00:20<17:05,  3.48s/it]
Gen. (-00.52) | Discrim. (-00.08):   2%|▏         | 6/300 [00:20<16:50,  3.44s/it]
Gen. (-00.50) | Discrim. (-00.16):   2%|▏         | 6/300 [00:23<16:50,  3.44s/it]
Gen. (-00.50) | Discrim. (-00.16):   2%|▏         | 7/300 [00:23<16:39,  3.41s/it]
Gen. (-00.56) | Discrim. (-00.03):   2%|▏         | 7/300 [00:27<16:39,  3.41s/it]
Gen. (-00.56) | Discrim. (-00.03):   3%|▎         | 8/300 [00:27<16:39,  3.42s/it]
Gen. (-00.99) | Discrim. (-00.14):   3%|▎         | 8/300 [00:30<16:39,  3.42s/it]
Gen. (-00.99) | Discrim. (-00.14):   3%|▎         | 9/300 [00:30<16:26,  3.39s/it]
Gen. (-00.78) | Discrim. (-00.13):   3%|▎         | 9/300 [00:34<16:26,  3.39s/it]
Gen. (-00.78) | Discrim. (-00.13):   3%|▎         | 10/300 [00:34<16:40,  3.45s/it]
Gen. (-00.75) | Discrim. (-00.18):   3%|▎         | 10/300 [00:37<16:40,  3.45s/it]
Gen. (-00.75) | Discrim. (-00.18):   4%|▎         | 11/300 [00:37<16:40,  3.46s/it]
Gen. (-00.76) | Discrim. (-00.12):   4%|▎         | 11/300 [00:41<16:40,  3.46s/it]
Gen. (-00.76) | Discrim. (-00.12):   4%|▍         | 12/300 [00:41<17:23,  3.62s/it]
Gen. (-01.16) | Discrim. (-00.06):   4%|▍         | 12/300 [00:45<17:23,  3.62s/it]
Gen. (-01.16) | Discrim. (-00.06):   4%|▍         | 13/300 [00:45<17:01,  3.56s/it]
Gen. (-00.59) | Discrim. (-00.09):   4%|▍         | 13/300 [00:48<17:01,  3.56s/it]
Gen. (-00.59) | Discrim. (-00.09):   5%|▍         | 14/300 [00:48<16:56,  3.55s/it]
Gen. (-01.23) | Discrim. (+00.08):   5%|▍         | 14/300 [00:52<16:56,  3.55s/it]
Gen. (-01.23) | Discrim. (+00.08):   5%|▌         | 15/300 [00:52<16:36,  3.50s/it]
Gen. (-00.96) | Discrim. (+00.02):   5%|▌         | 15/300 [00:55<16:36,  3.50s/it]
Gen. (-00.96) | Discrim. (+00.02):   5%|▌         | 16/300 [00:55<16:19,  3.45s/it]
Gen. (-00.94) | Discrim. (+00.04):   5%|▌         | 16/300 [00:58<16:19,  3.45s/it]
Gen. (-00.94) | Discrim. (+00.04):   6%|▌         | 17/300 [00:58<16:16,  3.45s/it]
Gen. (-00.87) | Discrim. (-00.11):   6%|▌         | 17/300 [01:02<16:16,  3.45s/it]
Gen. (-00.87) | Discrim. (-00.11):   6%|▌         | 18/300 [01:02<16:03,  3.42s/it]
Gen. (-01.25) | Discrim. (+00.18):   6%|▌         | 18/300 [01:05<16:03,  3.42s/it]
Gen. (-01.25) | Discrim. (+00.18):   6%|▋         | 19/300 [01:05<15:55,  3.40s/it]
Gen. (-01.02) | Discrim. (-00.17):   6%|▋         | 19/300 [01:09<15:55,  3.40s/it]
Gen. (-01.02) | Discrim. (-00.17):   7%|▋         | 20/300 [01:09<15:58,  3.42s/it]
Gen. (-00.92) | Discrim. (+00.06):   7%|▋         | 20/300 [01:12<15:58,  3.42s/it]
Gen. (-00.92) | Discrim. (+00.06):   7%|▋         | 21/300 [01:12<15:58,  3.44s/it]
Gen. (-00.75) | Discrim. (-00.08):   7%|▋         | 21/300 [01:15<15:58,  3.44s/it]
Gen. (-00.75) | Discrim. (-00.08):   7%|▋         | 22/300 [01:15<15:51,  3.42s/it]
Gen. (-00.77) | Discrim. (-00.11):   7%|▋         | 22/300 [01:19<15:51,  3.42s/it]
Gen. (-00.77) | Discrim. (-00.11):   8%|▊         | 23/300 [01:19<15:43,  3.41s/it]
Gen. (-00.78) | Discrim. (+00.02):   8%|▊         | 23/300 [01:22<15:43,  3.41s/it]
Gen. (-00.78) | Discrim. (+00.02):   8%|▊         | 24/300 [01:22<15:40,  3.41s/it]
Gen. (-00.33) | Discrim. (-00.13):   8%|▊         | 24/300 [01:26<15:40,  3.41s/it]
Gen. (-00.33) | Discrim. (-00.13):   8%|▊         | 25/300 [01:26<15:35,  3.40s/it]
Gen. (-00.40) | Discrim. (-00.33):   8%|▊         | 25/300 [01:29<15:35,  3.40s/it]
Gen. (-00.40) | Discrim. (-00.33):   9%|▊         | 26/300 [01:29<15:33,  3.41s/it]
Gen. (-00.63) | Discrim. (-00.18):   9%|▊         | 26/300 [01:32<15:33,  3.41s/it]
Gen. (-00.63) | Discrim. (-00.18):   9%|▉         | 27/300 [01:32<15:31,  3.41s/it]
Gen. (-00.72) | Discrim. (-00.22):   9%|▉         | 27/300 [01:36<15:31,  3.41s/it]
Gen. (-00.72) | Discrim. (-00.22):   9%|▉         | 28/300 [01:36<15:32,  3.43s/it]
Gen. (-00.24) | Discrim. (+00.07):   9%|▉         | 28/300 [01:39<15:32,  3.43s/it]
Gen. (-00.24) | Discrim. (+00.07):  10%|▉         | 29/300 [01:39<15:32,  3.44s/it]
Gen. (-00.40) | Discrim. (+00.13):  10%|▉         | 29/300 [01:43<15:32,  3.44s/it]
Gen. (-00.40) | Discrim. (+00.13):  10%|█         | 30/300 [01:43<15:23,  3.42s/it]
Gen. (-00.60) | Discrim. (-00.30):  10%|█         | 30/300 [01:46<15:23,  3.42s/it]
Gen. (-00.60) | Discrim. (-00.30):  10%|█         | 31/300 [01:46<15:16,  3.41s/it]
Gen. (-00.40) | Discrim. (-00.26):  10%|█         | 31/300 [01:49<15:16,  3.41s/it]
Gen. (-00.40) | Discrim. (-00.26):  11%|█         | 32/300 [01:49<15:04,  3.38s/it]
Gen. (-00.44) | Discrim. (-00.16):  11%|█         | 32/300 [01:53<15:04,  3.38s/it]
Gen. (-00.44) | Discrim. (-00.16):  11%|█         | 33/300 [01:53<15:06,  3.40s/it]
Gen. (-00.70) | Discrim. (+00.22):  11%|█         | 33/300 [01:56<15:06,  3.40s/it]
Gen. (-00.70) | Discrim. (+00.22):  11%|█▏        | 34/300 [01:56<14:53,  3.36s/it]
Gen. (-00.49) | Discrim. (-00.02):  11%|█▏        | 34/300 [01:59<14:53,  3.36s/it]
Gen. (-00.49) | Discrim. (-00.02):  12%|█▏        | 35/300 [01:59<14:47,  3.35s/it]
Gen. (-00.45) | Discrim. (+00.05):  12%|█▏        | 35/300 [02:03<14:47,  3.35s/it]
Gen. (-00.45) | Discrim. (+00.05):  12%|█▏        | 36/300 [02:03<14:45,  3.35s/it]
Gen. (-00.46) | Discrim. (-00.27):  12%|█▏        | 36/300 [02:06<14:45,  3.35s/it]
Gen. (-00.46) | Discrim. (-00.27):  12%|█▏        | 37/300 [02:06<14:48,  3.38s/it]
Gen. (-00.37) | Discrim. (-00.21):  12%|█▏        | 37/300 [02:10<14:48,  3.38s/it]
Gen. (-00.37) | Discrim. (-00.21):  13%|█▎        | 38/300 [02:10<14:46,  3.38s/it]
Gen. (-00.58) | Discrim. (-00.06):  13%|█▎        | 38/300 [02:13<14:46,  3.38s/it]
Gen. (-00.58) | Discrim. (-00.06):  13%|█▎        | 39/300 [02:13<14:37,  3.36s/it]
Gen. (-00.42) | Discrim. (-00.39):  13%|█▎        | 39/300 [02:16<14:37,  3.36s/it]
Gen. (-00.42) | Discrim. (-00.39):  13%|█▎        | 40/300 [02:16<14:33,  3.36s/it]
Gen. (-00.70) | Discrim. (-00.14):  13%|█▎        | 40/300 [02:20<14:33,  3.36s/it]
