worker_id,state,sex,marital_status,religion,social_group,urban_rural,education,employment_type,employer_type,age,annual_wage_inr,work_hours_year,contract_status,is_migrant,language,low_resource_language,wage_violation_prob,wage_below_minimum,rights_awareness,ai_usability_score,social_protection_gap
0,Madhya Pradesh,Male,Married,Hindu,Brahmin,Rural,Higher Sec (12-14),regular_informal,private_firm,49,29659,2995,written,False,Hindi,False,0.3,False,0.778,3,0.217
1,Karnataka,Female,Married,Muslim,Dalit (SC),Rural,1-4 yrs,casual_daily,private_individual,24,7557,2078,none,False,Hindi,False,0.99,True,0.146,1,0.956
2,Rajasthan,Male,Married,Hindu,Brahmin,Rural,Middle (6-9),casual_daily,mgnrega,28,10820,2432,none,False,Hindi,False,0.868,True,0.315,2,0.83
3,Chhattisgarh,Female,Separated/Divorced,Christian,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,39,6321,1508,none,True,Hindi,False,0.99,True,0.474,2,0.783
4,Tripura,Male,Married,Hindu,Forward caste,Rural,Middle (6-9),casual_daily,mgnrega,49,33436,993,none,True,Hindi,False,0.99,True,0.259,2,0.847
5,Andhra Pradesh,Female,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_piecework,private_individual,30,1907,219,none,False,Telugu,False,0.99,True,0.319,2,0.829
6,West Bengal,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),short_term_contract,private_individual,53,67533,3059,verbal,True,Bengali,False,0.702,True,0.541,3,0.688
7,Karnataka,Male,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,32,9236,1983,none,False,Kannada,False,0.868,True,0.129,1,0.961
8,Karnataka,Male,Married,Hindu,Dalit (SC),Urban,Primary (5),casual_daily,private_individual,46,77523,1857,none,False,Kannada,False,0.99,True,0.189,2,0.868
9,Karnataka,Male,Married,Hindu,Forward caste,Urban,Middle (6-9),regular_informal,private_individual,48,88079,2737,none,False,Hindi,False,0.42,False,0.693,3,0.242
10,Rajasthan,Female,Unmarried,Hindu,Dalit (SC),Urban,Higher Sec (12-14),short_term_contract,private_firm,26,62788,3927,verbal,False,Hindi,False,0.621,True,0.328,4,0.677
11,Uttar Pradesh,Male,Married,Muslim,Dalit (SC),Urban,Middle (6-9),casual_daily,mgnrega,18,7453,488,none,True,Bhojpuri,True,0.99,True,0.197,2,0.866
12,Uttar Pradesh,Male,Unmarried,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,18,15111,1348,none,True,Bhojpuri,True,0.99,True,0.249,1,0.925
13,Assam,Male,Married,Muslim,Muslim,Rural,Primary (5),casual_daily,private_individual,35,16384,1126,none,False,Hindi,False,0.868,True,0.605,1,0.818
14,Rajasthan,Female,Married,Hindu,Muslim,Rural,Middle (6-9),casual_piecework,other,30,3648,712,none,False,Hindi,False,0.99,True,0.445,2,0.792
15,Karnataka,Female,Married,Hindu,Muslim,Rural,1-4 yrs,casual_daily,private_individual,23,27361,1377,none,False,Kannada,False,0.99,True,0.055,1,0.984
16,Madhya Pradesh,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),casual_daily,private_firm,24,55808,3115,none,False,Hindi,False,0.99,True,0.074,3,0.828
17,Kerala,Female,Unmarried,Christian,Christian/Sikh/Jain,Urban,Graduate (15),regular_informal,private_individual,23,200166,2684,none,False,Hindi,False,0.483,False,0.237,5,0.229
18,Gujarat,Male,Unmarried,Hindu,Dalit (SC),Urban,1-4 yrs,casual_daily,private_individual,51,32868,1548,none,False,Gujarati,False,0.99,True,0.025,1,0.992
19,Odisha,Female,Widowed,Christian,Adivasi (ST),Urban,Middle (6-9),regular_informal,private_firm,44,1887,2872,written,False,Odia,False,0.414,True,0.809,3,0.607
20,Punjab,Male,Married,Sikh,OBC,Rural,1-4 yrs,regular_informal,private_individual,35,62208,2299,none,False,Hindi,False,0.42,True,0.106,1,0.968
21,Gujarat,Female,Unmarried,Hindu,OBC,Urban,Higher Sec (12-14),casual_daily,private_individual,24,16506,1961,none,True,Gujarati,False,0.99,True,0.329,4,0.676
22,Andhra Pradesh,Male,Married,Hindu,Forward caste,Rural,Middle (6-9),casual_piecework,private_individual,35,49136,1875,none,False,Telugu,False,0.924,True,0.277,2,0.842
23,Maharashtra,Male,Unmarried,Hindu,Forward caste,Urban,Higher Sec (12-14),regular_informal,other,28,195802,2347,none,True,Marathi,False,0.546,False,0.117,4,0.34
24,Chhattisgarh,Male,Married,Hindu,Adivasi (ST),Rural,1-4 yrs,casual_daily,private_firm,37,57621,2211,none,True,Hindi,False,0.99,True,0.044,1,0.987
