worker_id,state,sex,marital_status,religion,social_group,urban_rural,education,employment_type,employer_type,age,annual_wage_inr,work_hours_year
0,Madhya Pradesh,Male,Married,Hindu,Brahmin,Rural,Higher Sec (12-14),regular_informal,private_firm,49,29659,2995
1,Karnataka,Female,Married,Muslim,Dalit (SC),Rural,1-4 yrs,casual_daily,private_individual,24,7557,2078
2,Rajasthan,Male,Married,Hindu,Brahmin,Rural,Middle (6-9),casual_daily,mgnrega,28,10820,2432
3,Chhattisgarh,Female,Separated/Divorced,Christian,Dalit (SC),Rural,Middle (6-9),casual_daily,private_individual,39,6321,1508
4,Tripura,Male,Married,Hindu,Forward caste,Rural,Middle (6-9),casual_daily,mgnrega,49,33436,993
5,Andhra Pradesh,Female,Married,Hindu,Dalit (SC),Rural,Middle (6-9),casual_piecework,private_individual,30,1907,219
6,West Bengal,Male,Married,Hindu,Dalit (SC),Urban,Middle (6-9),short_term_contract,private_individual,53,67533,3059
7,Karnataka,Male,Married,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,32,9236,1983
8,Karnataka,Male,Married,Hindu,Dalit (SC),Urban,Primary (5),casual_daily,private_individual,46,77523,1857
9,Karnataka,Male,Married,Hindu,Forward caste,Urban,Middle (6-9),regular_informal,private_individual,48,88079,2737
10,Rajasthan,Female,Unmarried,Hindu,Dalit (SC),Urban,Higher Sec (12-14),short_term_contract,private_firm,26,62788,3927
11,Uttar Pradesh,Male,Married,Muslim,Dalit (SC),Urban,Middle (6-9),casual_daily,mgnrega,18,7453,488
12,Uttar Pradesh,Male,Unmarried,Hindu,OBC,Rural,1-4 yrs,casual_daily,private_individual,18,15111,1348
13,Assam,Male,Married,Muslim,Muslim,Rural,Primary (5),casual_daily,private_individual,35,16384,1126
14,Rajasthan,Female,Married,Hindu,Muslim,Rural,Middle (6-9),casual_piecework,other,30,3648,712
15,Karnataka,Female,Married,Hindu,Muslim,Rural,1-4 yrs,casual_daily,private_individual,23,27361,1377
